sector,county,salary,monthly_rent,note
Information and communication (J),Dublin,87500,2100,Senior developer, 5+ yrs experience
Professional, scientific and technical activities (M),Cork,60410,1400,Engineer / consultant, mid-level
Education (P),Galway,53386,1200,Secondary teacher on mid-range scale
Human health and social work activities (Q),Limerick,47639,1150,Nurse / health professional
Accommodation and food service activities (I),Dublin,23183,1450,Front-of-house hospitality
Financial, insurance and real estate activities (K,L),Dublin,72156,1950,Banking / finance analyst
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Wicklow,36766,1500,Retail operations
Public administration and defence; compulsory social security (O),Dublin,59863,1600,Public-sector administrator
Construction (F),Kildare,52047,1350,Construction manager
Industry (B to E),Waterford,58000,1150,Manufacturing engineer
